Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
Rolling Hills,Lexington,TN,38351,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$835,000",Private,"2,500 - 4,999",B,,
Roman's Road Truck Brokerage,Memphis,TN,38112,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$452,000",Private,"2,500 - 4,999",C+,,
Rsi Leasing,Knoxville,TN,37921,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,070,000",Private,"2,500 - 4,999",A,,
S & L Truck Brokerage Inc,Memphis,TN,38115,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"2,500 - 4,999",C+,,
S & L Truck Brokerage Inc,Whiteville,TN,38075,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$632,000",Private,"2,500 - 4,999",B,,
S F Trucking LLC,Nashville,TN,37203,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$448,000",Private,"2,500 - 4,999",C+,,
S Mart,Memphis,TN,38115,445120,Convenience Stores,2,"$449,000",Private,"2,500 - 4,999",C+,,
SDR Trucking LLC,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,8,"$1,808,000",Private,"5,000 - 9,999",B,,
Serve Transport LLC,Nashville,TN,37209,488510,Freight Transportation Arrangement,2,"$1,119,000",Private,"2,500 - 4,999",C,,
Snider Trucks,Jackson,TN,38301,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,10,"$2,127,000",Private,"5,000 - 9,999",B,,
Somerset Logistics,Murfreesboro,TN,37130,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$212,000",Private,"5,000 - 9,999",C,,
Somerset Logistics,Murfreesboro,TN,37129,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$634,000",Private,"1,500 - 2,499",C+,,
Somner Express,Memphis,TN,38103,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,130,000",Private,"2,500 - 4,999",B+,,
